"Plot Title: G1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10747643, SEN S/N: 10747643, LBL: Temperature)","Intensity, Lux (LGR S/N: 10747643, SEN S/N: 10747643, LBL: Light)","Coupler Attached (LGR S/N: 10747643, SEN S/N: 10747643)","Host Connected (LGR S/N: 10747643, SEN S/N: 10747643)","Coupler Detached (LGR S/N: 10747643, SEN S/N: 10747643)","End Of File (LGR S/N: 10747643, SEN S/N: 10747643)"
252,06/14/18 08:00:00 PM,30.659,0.0,,,,
253,06/14/18 09:00:00 PM,30.356,0.0,,,,
254,06/14/18 10:00:00 PM,29.853,0.0,,,,
255,06/14/18 11:00:00 PM,29.352,0.0,,,,
256,06/15/18 12:00:00 AM,28.853,0.0,,,,
257,06/15/18 01:00:00 AM,28.357,0.0,,,,
258,06/15/18 02:00:00 AM,27.862,0.0,,,,
259,06/15/18 03:00:00 AM,27.370,0.0,,,,
260,06/15/18 04:00:00 AM,26.977,0.0,,,,
261,06/15/18 05:00:00 AM,26.585,0.0,,,,
262,06/15/18 06:00:00 AM,26.195,0.0,,,,
263,06/15/18 07:00:00 AM,25.902,484.4,,,,
264,06/15/18 08:00:00 AM,26.390,2066.7,,,,
265,06/15/18 09:00:00 AM,27.567,3100.0,,,,
266,06/15/18 10:00:00 AM,29.053,3961.1,,,,
267,06/15/18 11:00:00 AM,29.352,1334.7,,,,
268,06/15/18 12:00:00 PM,30.154,1463.9,,,,
269,06/15/18 01:00:00 PM,30.963,1722.2,,,,
270,06/15/18 02:00:00 PM,31.778,2152.8,,,,
271,06/15/18 03:00:00 PM,32.497,2583.4,,,,
272,06/15/18 04:00:00 PM,33.118,4305.6,,,,
273,06/15/18 05:00:00 PM,33.639,6200.0,,,,
274,06/15/18 06:00:00 PM,33.639,871.9,,,,
275,06/15/18 07:00:00 PM,33.014,129.2,,,,
276,06/15/18 08:00:00 PM,32.497,64.6,,,,
277,06/15/18 09:00:00 PM,31.676,0.0,,,,
278,06/15/18 10:00:00 PM,30.659,0.0,,,,
279,06/15/18 11:00:00 PM,29.752,0.0,,,,
280,06/16/18 12:00:00 AM,29.053,0.0,,,,
281,06/16/18 01:00:00 AM,28.456,0.0,,,,
282,06/16/18 02:00:00 AM,27.862,0.0,,,,
283,06/16/18 03:00:00 AM,27.370,0.0,,,,
284,06/16/18 04:00:00 AM,26.879,0.0,,,,
285,06/16/18 05:00:00 AM,26.488,0.0,,,,
286,06/16/18 06:00:00 AM,26.195,0.0,,,,
287,06/16/18 07:00:00 AM,26.000,473.6,,,,
288,06/16/18 08:00:00 AM,26.488,1980.6,,,,
289,06/16/18 09:00:00 AM,27.567,2927.8,,,,
290,06/16/18 10:00:00 AM,28.159,1377.8,,,,
291,06/16/18 11:00:00 AM,29.053,1463.9,,,,
292,06/16/18 11:38:29 AM,,,Logged,Logged,,
293,06/16/18 11:39:02 AM,,,,,Logged,
294,06/16/18 12:00:00 PM,29.853,818.1,,,,
295,06/16/18 01:00:00 PM,30.255,1001.0,,,,
296,06/16/18 02:00:00 PM,30.862,904.2,,,,
297,06/16/18 03:00:00 PM,31.472,279.9,,,,
298,06/16/18 04:00:00 PM,31.880,635.1,,,,
299,06/16/18 05:00:00 PM,32.086,139.9,,,,
300,06/16/18 06:00:00 PM,32.086,129.2,,,,
301,06/16/18 07:00:00 PM,31.778,53.8,,,,
302,06/16/18 08:00:00 PM,31.166,301.4,,,,
303,06/16/18 09:00:00 PM,30.558,0.0,,,,
304,06/16/18 10:00:00 PM,29.953,0.0,,,,
305,06/16/18 11:00:00 PM,29.452,0.0,,,,
306,06/17/18 12:00:00 AM,28.853,0.0,,,,
307,06/17/18 01:00:00 AM,28.357,0.0,,,,
308,06/17/18 02:00:00 AM,27.961,0.0,,,,
309,06/17/18 03:00:00 AM,27.567,0.0,,,,
310,06/17/18 04:00:00 AM,27.173,0.0,,,,
311,06/17/18 05:00:00 AM,26.879,0.0,,,,
312,06/17/18 06:00:00 AM,26.488,0.0,,,,
313,06/17/18 07:00:00 AM,26.195,1076.4,,,,
314,06/17/18 08:00:00 AM,26.781,13777.9,,,,
315,06/17/18 09:00:00 AM,27.862,18600.1,,,,
316,06/17/18 10:00:00 AM,29.152,15155.7,,,,
317,06/17/18 11:00:00 AM,30.659,12400.1,,,,
318,06/17/18 12:00:00 PM,31.778,3100.0,,,,
319,06/17/18 01:00:00 PM,31.676,635.1,,,,
320,06/17/18 02:00:00 PM,31.983,764.2,,,,
321,06/17/18 03:00:00 PM,32.086,796.5,,,,
322,06/17/18 04:00:00 PM,32.086,592.0,,,,
323,06/17/18 05:00:00 PM,32.291,484.4,,,,
324,06/17/18 06:00:00 PM,32.291,118.4,,,,
325,06/17/18 07:00:00 PM,31.880,43.1,,,,
326,06/17/18 08:00:00 PM,31.472,21.5,,,,
327,06/17/18 09:00:00 PM,30.862,0.0,,,,
328,06/17/18 10:00:00 PM,30.255,0.0,,,,
329,06/17/18 11:00:00 PM,29.752,0.0,,,,
330,06/18/18 12:00:00 AM,29.252,0.0,,,,
331,06/18/18 01:00:00 AM,28.754,0.0,,,,
332,06/18/18 02:00:00 AM,28.456,0.0,,,,
333,06/18/18 03:00:00 AM,28.060,0.0,,,,
334,06/18/18 04:00:00 AM,27.764,0.0,,,,
335,06/18/18 05:00:00 AM,27.468,0.0,,,,
336,06/18/18 06:00:00 AM,27.173,0.0,,,,
337,06/18/18 07:00:00 AM,26.977,495.1,,,,
338,06/18/18 08:00:00 AM,27.370,5166.7,,,,
339,06/18/18 09:00:00 AM,28.555,20666.8,,,,
340,06/18/18 10:00:00 AM,28.357,1550.0,,,,
341,06/18/18 11:00:00 AM,28.953,3444.5,,,,
342,06/18/18 12:00:00 PM,29.152,484.4,,,,
343,06/18/18 01:00:00 PM,29.552,387.5,,,,
344,06/18/18 02:00:00 PM,29.953,1141.0,,,,
345,06/18/18 03:00:00 PM,30.457,785.8,,,,
346,06/18/18 04:00:00 PM,30.963,204.5,,,,
347,06/18/18 05:00:00 PM,31.268,355.2,,,,
348,06/18/18 06:00:00 PM,31.268,139.9,,,,
349,06/18/18 07:00:00 PM,30.862,75.3,,,,
350,06/18/18 08:00:00 PM,30.457,21.5,,,,
351,06/18/18 09:00:00 PM,30.154,0.0,,,,
352,06/18/18 10:00:00 PM,29.752,0.0,,,,
353,06/18/18 11:00:00 PM,29.352,0.0,,,,
354,06/19/18 12:00:00 AM,28.953,0.0,,,,
355,06/19/18 01:00:00 AM,28.555,0.0,,,,
356,06/19/18 02:00:00 AM,28.258,0.0,,,,
357,06/19/18 03:00:00 AM,27.961,0.0,,,,
358,06/19/18 04:00:00 AM,27.665,0.0,,,,
359,06/19/18 05:00:00 AM,27.468,0.0,,,,
360,06/19/18 06:00:00 AM,27.173,0.0,,,,
361,06/19/18 07:00:00 AM,26.977,86.1,,,,
362,06/19/18 08:00:00 AM,26.781,129.2,,,,
363,06/19/18 09:00:00 AM,26.683,139.9,,,,
364,06/19/18 10:00:00 AM,26.879,699.7,,,,
365,06/19/18 10:58:39 AM,,,Logged,,,
366,06/19/18 10:58:56 AM,,,,Logged,,
367,06/19/18 10:59:02 AM,,,,,Logged,
368,06/19/18 10:59:03 AM,,,Logged,Logged,,Logged
